chr	TimeRatio	ads	cDBSCAN_Time	cDBSCAN_cluster	kDBSCAN_Time	kDBSCAN_cluster
chr21-chr21	0.0649511978705,0.0652123191787,0.0650657053146,0.0685547445255,0.0672624920202	1.0,1.0,1.0,1.0,1.0	10.98,11.18,11.19,11.74,11.59	804,804,804,804,804	169.05,171.44,171.98,171.25,172.31	805,805,805,805,805
chr22-chr22	0.0787362792007,0.0845779969489,0.0925158795913,0.0840882402281,0.0742095526404	1.0,1.0,1.0,1.0,1.0	22.38,23.84,23.45,20.05,17.65	1730,1730,1730,1730,1730	284.24,281.87,253.47,238.44,237.84	1731,1731,1731,1731,1731
chr3-chr3	0.0613448655274,0.0755321374405,0.0712593130244,0.0548869973584,0.0683410748775	1.0,1.0,1.0,1.0,1.0	88.09,115.54,100.14,54.23,85.63	6610,6610,6610,6610,6610	1435.98,1529.68,1405.29,988.03,1252.98	6611,6611,6611,6611,6611
chr4-chr4	0.0668270103467,0.0633793018783,0.0693459416864,0.064232746068,0.0604754038693	1.0,1.0,1.0,1.0,1.0	73.63,77.44,45.76,66.61,64.8	4841,4841,4841,4841,4841	1101.8,1221.85,659.88,1037.01,1071.51	4842,4842,4842,4842,4842
chr5-chr5	0.0981053724371,0.0643089172752,0.0788895940175,0.0730416827978,0.0538344938658	1.0,1.0,1.0,1.0,1.0	64.26,78.99,91.99,84.9,45.46	5462,5462,5462,5462,5462	655.01,1228.29,1166.06,1162.35,844.44	5463,5463,5463,5463,5463
chr6-chr6	0.0815922523677,0.0709054569856,0.0617010098652,0.087065281928,0.0527469795093	1.0,1.0,1.0,1.0,1.0	57.29,98.27,73.99,89.45,46.67	5876,5876,5876,5876,5876	702.15,1385.93,1199.17,1027.39,884.79	5877,5877,5877,5877,5877
chr7-chr7	0.0448723265596,0.0767671172169,0.0656345786504,0.0733946993952,0.0667102319296	1.0,1.0,1.0,1.0,1.0	37.87,69.29,59.1,66.02,60.23	4889,4889,4889,4889,4889	843.95,902.6,900.44,899.52,902.86	4890,4890,4890,4890,4890
chr8-chr8	0.0584847757726,0.0732984293194,0.0753704250552,0.0901207903368,0.062481448501	1.0,1.0,1.0,1.0,1.0	46.31,58.94,43.39,56.33,50.52	4328,4328,4328,4328,4328	791.83,804.11,575.69,625.05,808.56	4329,4329,4329,4329,4329
chr9-chr9	0.0646945718089,0.0751827838323,0.0870989668298,0.0626544793173,0.0884943740923	1.0,1.0,1.0,1.0,1.0	43.74,59.95,64.07,53.74,65.2	3938,3938,3938,3938,3938	676.1,797.39,735.6,857.72,736.77	3939,3939,3939,3939,3939
chrM-chrM	0.155400440852,0.16404494382,0.155463695183,0.163321737579,0.172112867255	1.0,1.0,1.0,1.0,1.0	16.92,18.25,17.3,18.31,17.75	13,13,13,13,13	108.88,111.25,111.28,112.11,103.13	14,14,14,14,14
chrX-chrX	0.0684533612816,0.092832737227,0.0830866173235,0.0829092070335,0.0884740746666	1.0,1.0,1.0,1.0,1.0	68.58,92.92,83.07,83.08,88.49	2908,2908,2908,2908,2908	1001.85,1000.94,999.8,1002.06,1000.18	2909,2909,2909,2909,2909
